brand,description,price,product_links
INDIA GATE,"1 Cup Serves 5 Mogra | Aged Rice | Smart Choice Basmati Rice (Broken Grain, Polished)",₹460,https://www.flipkart.com/india-gate-1-cup-serves-5-mogra-aged-rice-smart-choice-basmati-broken-grain-polished/p/itm61dd444cd7858?pid=RICEUC2YJAGMXRYF&lid=LSTRICEUC2YJAGMXRYFYGV9C9&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_3_109&otracker=search&otracker1=search&iid=c4755d92-ccd8-41cc-a317-6c2f9d0142e3.RICEUC2YJAGMXRYF.SEARCH&ssid=rmxoy2mvvk0000001758308755093&qH=4a82715423d654d6
Roadster,,₹549,
markway,Large 35 L Laptop Backpack Laptop Water Resistant () Waterproof School Bag,₹301,https://www.flipkart.com/markway-laptop-water-resistant-waterproof-school-bag-35-l-backpack/p/itm794ecbef95dc3?pid=BKPH6GTSN8HRQR5Y&lid=LSTBKPH6GTSN8HRQR5YX7NOL7&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_3_111&otracker=search&otracker1=search&iid=en_aPFyPPS_AGxHCAphE6Hz5WVTIE3d94MfXXIWasS2K-qQpthzzr0UQG3Uy6hDNwzaneuIKAoHKaHNqY_6VcXxWw%3D%3D&ssid=rmxoy2mvvk0000001758308755093&qH=4a82715423d654d6
markway,Large 35 L Backpack School /College Office Casual Waterproof,₹279,https://www.flipkart.com/markway-school-college-office-casual-waterproof-35-l-backpack/p/itm22fba92920e5e?pid=BKPGSFTZEYNUWQTH&lid=LSTBKPGSFTZEYNUWQTHFQ3MRG&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_3_112&otracker=search&otracker1=search&iid=en_aPFyPPS_AGxHCAphE6Hz5WVTIE3d94MfXXIWasS2K-rCEmVXSteAZIXjKiONfc1hIdom9fwcbTQsPQWtz6gqcg%3D%3D&ssid=rmxoy2mvvk0000001758308755093&qH=4a82715423d654d6
PROVOGUE,,₹659,
SAFARI,,₹349,
HUNTER,,₹398,
Gear,,₹246,
SBCOLLECTION,Medium 30 L Laptop Backpack Reflective Strip Waterproof Office/School/College/Business/Travel Bag Unisex,₹272,https://www.flipkart.com/sbcollection-reflective-strip-waterproof-office-school-college-business-travel-bag-unisex-30-l-backpack/p/itm49ebf73d3a368?pid=BKPGW3MDMBEXCUHJ&lid=LSTBKPGW3MDMBEXCUHJAUKJ1E&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_3_117&otracker=search&otracker1=search&iid=en_aPFyPPS_AGxHCAphE6Hz5WVTIE3d94MfXXIWasS2K-oEqv5XUwXEJnudweA5B5uMCCRaqLBHv3iAsRiiKIZ4dg%3D%3D&ssid=rmxoy2mvvk0000001758308755093&qH=4a82715423d654d6
HRX by Hrithik Roshan,,₹789,
SAFARI,,"₹1,299",
Atipriya,"Grey Men & Women Sling Bag Men's and Women's Polyester Sling Crossbody Bag, pack of 1 multicolor",₹179,https://www.flipkart.com/atipriya-grey-sling-bag-men-s-women-s-polyester-crossbody-bag-pack-1-multicolor/p/itm6f56d0cd96c01?pid=SLBGF3DYSZSVDHRH&lid=LSTSLBGF3DYSZSVDHRHCQJSKU&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_3_120&otracker=search&otracker1=search&iid=c4755d92-ccd8-41cc-a317-6c2f9d0142e3.SLBGF3DYSZSVDHRH.SEARCH&ssid=rmxoy2mvvk0000001758308755093&qH=4a82715423d654d6
NASHER MILES,,₹919,
SBCOLLECTION,Large 35 L Backpack Backpack/School Bag/College Bag Office Casual Bag Waterproof School Bag,₹292,https://www.flipkart.com/sbcollection-backpack-school-bag-college-bag-office-casual-waterproof-school-35-l-backpack/p/itm33767d48bfdcb?pid=BKPH5VWJQZYQJVGE&lid=LSTBKPH5VWJQZYQJVGE9JRY7K&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_122&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBnXiLMTQFhDM3W8DH4KYnizrNGfPbLrVY7BbONnzscNFg%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
Safari go,,₹450,
ICHIEF,Tan Men Sling Bag Draper Shoulder/Cross Body Bag/Unisex Sling Bag with Padded Tab Compartment,₹462,https://www.flipkart.com/ichief-tan-sling-bag-draper-shoulder-cross-body-bag-unisex-padded-tab-compartment/p/itm52e7a1504a4f0?pid=SLBGVH6PXE4ZFSZZ&lid=LSTSLBGVH6PXE4ZFSZZ2HXZSF&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_124&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.SLBGVH6PXE4ZFSZZ.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
WAYCRAFT,,₹248,
WROGN,,₹368,
Luzian,Medium 22 L Backpack Casual School Design Tuition College Office Shoulder For Unisex,₹227,https://www.flipkart.com/luzian-casual-school-design-tuition-college-office-shoulder-unisex-22-l-backpack/p/itmeedb7b2edc7be?pid=BKPGZ8Y6FGZAGP7W&lid=LSTBKPGZ8Y6FGZAGP7WF2SAWO&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_127&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBkKUravRpEGVWTNKDlenuTk-aAB3YL6_mdNKMsbnPf9Sg%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
PROVOGUE,,₹219,
MONVELLI,,₹198,
FORTUNE,,₹800,
NASHER MILES,,₹909,
NASHER MILES,,"₹1,509",
Gear,,₹969,
PROVOGUE,,₹369,
NDT,Small 6 L Laptop Backpack Anti-theft Water-Resistant Cross body Bags With USB Charging Port Bag Phone,₹319,https://www.flipkart.com/ndt-anti-theft-water-resistant-cross-body-bags-usb-charging-port-bag-phone-6-l-backpack/p/itmfced9a6cdc1a7?pid=BKPHDHCQVTNTEVSY&lid=LSTBKPHDHCQVTNTEVSYK7ALQB&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_135&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.BKPHDHCQVTNTEVSY.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
markway,,₹305,
markway,Large 35 L Laptop Backpack spacy comfortable 4th to 10th class casual college Waterproof School Bag,₹264,https://www.flipkart.com/markway-spacy-comfortable-4th-10th-class-casual-college-waterproof-school-bag-35-l-backpack/p/itm254945957396d?pid=BKPGPPRDZGR5CTXE&lid=LSTBKPGPPRDZGR5CTXEGEFK3R&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_137&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBmXyRISpOnWe8ejBRn4_2b6CfBg-XDaWZZjvHmexSPabg%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
NASHER MILES,,₹869,
fellow,55 L Laptop Backpack Trekking bag travel bag luggage bag rucksack bag Rucksack - 55 L,₹328,https://www.flipkart.com/fellow-trekking-bag-travel-luggage-rucksack-55-l-22-inch-backpack/p/itm33af6ed207301?pid=RKSGAJWZVANAF6UC&lid=LSTRKSGAJWZVANAF6UCO5SK1A&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_139&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.RKSGAJWZVANAF6UC.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
ZWEELAY,,₹335,
markway,Large 35 L Backpack /School Bag/College Office Casual Waterproof School,₹285,https://www.flipkart.com/markway-school-bag-college-office-casual-waterproof-school-35-l-backpack/p/itm99496768698ff?pid=BKPGSFTZEGUZX9SC&lid=LSTBKPGSFTZEGUZX9SCCCCWJG&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_141&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBmBaT-6SS9fFk69ow61r96YE_6l5goJwzkwLxoYgsdM2w%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
SWISS MILITARY,,"₹1,499",
Swanky,,₹198,
Byoode,,₹295,
CRZYDE,,₹385,
STORITE,,₹489,
SBCOLLECTION,,₹411,
PLEXY,,₹471,
Alison,Brown Men Sling Bag Black for Men,₹328,https://www.flipkart.com/alison-brown-sling-bag-black-men/p/itmc0a7abf8ad4cc?pid=SLBGHVFSSHHF7YKZ&lid=LSTSLBGHVFSSHHF7YKZU7XV5E&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_149&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.SLBGHVFSSHHF7YKZ.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
ANANYA ENTERPRISES,10 L Gym Duffel Bag - Gym Bag Combo Men's Gloves black Wrist Support Band and big spider shaker Bottle - Brown,₹460,https://www.flipkart.com/ananya-enterprises-gym-bag-combo-men-s-gloves-black-wrist-support-band-big-spider-shaker-bottle-duffel/p/itmb75e89f64610e?pid=DFBGM2HMNSAGUMEN&lid=LSTDFBGM2HMNSAGUMENESZYHS&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_150&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.DFBGM2HMNSAGUMEN.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
SBCOLLECTION,Medium 30 L Laptop Backpack Reflective Strip Waterproof Office/School/College/Business/Travel Bag Unisex,₹272,https://www.flipkart.com/sbcollection-reflective-strip-waterproof-office-school-college-business-travel-bag-unisex-30-l-backpack/p/itm49ebf73d3a368?pid=BKPGW3MDMBEXCUHJ&lid=LSTBKPGW3MDMBEXCUHJAUKJ1E&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_151&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBlV_-ch1aa7Mk5afrqg7Ifmo0FZ8KH47BcBWwjLcehBzQ%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
markway,Large 35 L Laptop Backpack Laptop Water Resistant () Waterproof School Bag,₹301,https://www.flipkart.com/markway-laptop-water-resistant-waterproof-school-bag-35-l-backpack/p/itm794ecbef95dc3?pid=BKPH6GTSN8HRQR5Y&lid=LSTBKPH6GTSN8HRQR5YX7NOL7&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_152&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBnkraW6hIs0iNua5u4gMOys9SSYSYUfavO4JXHJfdkyXw%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
SNDIA,,₹726,
FORTUNE,Supreme Sona Masoori Rice (Raw),₹395,https://www.flipkart.com/fortune-supreme-sona-masoori-rice-raw/p/itm9425ea131f130?pid=RICF5YKQVHQP2AZA&lid=LSTRICF5YKQVHQP2AZATL3WDV&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_154&otracker=search&otracker1=search&iid=d889bbb0-40d4-4f6c-bf82-f9b4f942bb09.RICF5YKQVHQP2AZA.SEARCH&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
SKYBAGS,,₹599,
HP,,₹419,
markway,Large 35 L Backpack School /College Office Casual Waterproof,₹279,https://www.flipkart.com/markway-school-college-office-casual-waterproof-35-l-backpack/p/itm22fba92920e5e?pid=BKPGSFTZEYNUWQTH&lid=LSTBKPGSFTZEYNUWQTHFQ3MRG&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_157&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBlO_6ttdEQyXkUz_TYVPz_7EHcCTrnB5mx0oQZ49t4UHA%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
markway,Large 35 L Backpack School/College Office Casual Waterproof bag,₹298,https://www.flipkart.com/markway-school-college-office-casual-waterproof-bag-35-l-backpack/p/itm5d272221888ec?pid=BKPGSFTZG6YVZB6F&lid=LSTBKPGSFTZG6YVZB6F0V1GDU&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_4_158&otracker=search&otracker1=search&iid=en_sKvy9JCZFqmYZ_srel1ksOpLGPx4eUYNG5MGrU-6vBmwKcSd4QlHPcNV-x0T4h3Krxb_L49TPLi-_FH1BB_fSw%3D%3D&ssid=u0rjxintfk0000001758308767462&qH=4a82715423d654d6
Uppercase,,₹971,
PUMA,,₹669,
NASHER MILES,,₹919,
SBCOLLECTION,Large 35 L Backpack Backpack/School Bag/College Bag Office Casual Bag Waterproof School Bag,₹292,https://www.flipkart.com/sbcollection-backpack-school-bag-college-bag-office-casual-waterproof-school-35-l-backpack/p/itm33767d48bfdcb?pid=BKPH5VWJQZYQJVGE&lid=LSTBKPH5VWJQZYQJVGE9JRY7K&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_162&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4t21wvArZAUBsY2tL3pyZYSrNGfPbLrVY7BbONnzscNFg%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
Modinity,Black Men Shoulder Bag Sling Bag for Men |Anti-theft Crossbody Bag USB PU Shoulder Bag,₹355,https://www.flipkart.com/modinity-black-shoulder-bag-sling-men-anti-theft-crossbody-usb-pu/p/itm5c64b3da51dfa?pid=SLBH8WNG4WP5RWGG&lid=LSTSLBH8WNG4WP5RWGGXHDXDF&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_163&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.SLBH8WNG4WP5RWGG.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
M Choice,,₹180,
Elmira,,₹910,
ICHIEF,,₹234,
Luzian,Medium 22 L Backpack Casual School Design Tuition College Office Shoulder For Unisex,₹227,https://www.flipkart.com/luzian-casual-school-design-tuition-college-office-shoulder-unisex-22-l-backpack/p/itmeedb7b2edc7be?pid=BKPGZ8Y6FGZAGP7W&lid=LSTBKPGZ8Y6FGZAGP7WF2SAWO&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_167&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4v_cTfUgJiVFnsjX4QyR5DF-aAB3YL6_mdNKMsbnPf9Sg%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
PROVOGUE,,₹219,
ZipCraze,"Tan Men Messenger Bag - Laptop Bag for Men, PU Leather Expandable Office Bag for Men, 15.6 inches",₹450,https://www.flipkart.com/zipcraze-tan-messenger-bag-laptop-men-pu-leather-expandable-office-15-6-inches/p/itm11f6090c8ed72?pid=SLBHA535HMNN9HQG&lid=LSTSLBHA535HMNN9HQGYPKBNT&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_169&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.SLBHA535HMNN9HQG.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
COOL INDIANS,,₹419,
NASHER MILES,,₹909,
NASHER MILES,,"₹1,509",
LionBolt,,₹355,
Shub Labh,"Platinum Super Premium Minikit Rice (Full Grain, Parboiled)",₹800,https://www.flipkart.com/shub-labh-platinum-super-premium-minikit-rice-full-grain-parboiled/p/itm84919b4eb44ac?pid=RICFWCY7YKUANNE7&lid=LSTRICFWCY7YKUANNE7ZHAFKH&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_174&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.RICFWCY7YKUANNE7.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
Flycraft,,₹488,
worng,,₹453,
markway,Large 35 L Laptop Backpack spacy comfortable 4th to 10th class casual college Waterproof School Bag,₹264,https://www.flipkart.com/markway-spacy-comfortable-4th-10th-class-casual-college-waterproof-school-bag-35-l-backpack/p/itm254945957396d?pid=BKPGPPRDZGR5CTXE&lid=LSTBKPGPPRDZGR5CTXEGEFK3R&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_177&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4tn66pEdfsCnxhQzltXtMD6CfBg-XDaWZZjvHmexSPabg%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
NASHER MILES,,₹869,
Catbox,Large 35 L Backpack Medium For College Travel Office For Men & Women,₹288,https://www.flipkart.com/catbox-medium-college-travel-office-men-women-35-l-backpack/p/itm628e0df8aa2f4?pid=BKPH39GKUAFKQ99U&lid=LSTBKPH39GKUAFKQ99UCX0DEZ&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_179&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.BKPH39GKUAFKQ99U.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
Roadster,,₹579,
markway,Large 35 L Backpack /School Bag/College Office Casual Waterproof School,₹285,https://www.flipkart.com/markway-school-bag-college-office-casual-waterproof-school-35-l-backpack/p/itm99496768698ff?pid=BKPGSFTZEGUZX9SC&lid=LSTBKPGSFTZEGUZX9SCCCCWJG&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_181&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4u7Df4uvrsFBoosJmeTSKy4E_6l5goJwzkwLxoYgsdM2w%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
SWISS MILITARY,,"₹1,499",
Wildcraft,,₹599,
khatushyam collection,,₹217,
Zainto,,₹832,
Bagzenia,,₹270,
SBCOLLECTION,,₹411,
PLEXY,,₹471,
Straplt,,₹218,
Swanky,,₹249,
markway,Large 35 L Laptop Backpack Laptop Water Resistant () Waterproof School Bag,₹301,https://www.flipkart.com/markway-laptop-water-resistant-waterproof-school-bag-35-l-backpack/p/itm794ecbef95dc3?pid=BKPH6GTSN8HRQR5Y&lid=LSTBKPH6GTSN8HRQR5YX7NOL7&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_191&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4ujTW8h4ScN7Cxiloy-G7BXneuIKAoHKaHNqY_6VcXxWw%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
SBCOLLECTION,Medium 30 L Laptop Backpack Reflective Strip Waterproof Office/School/College/Business/Travel Bag Unisex,₹272,https://www.flipkart.com/sbcollection-reflective-strip-waterproof-office-school-college-business-travel-bag-unisex-30-l-backpack/p/itm49ebf73d3a368?pid=BKPGW3MDMBEXCUHJ&lid=LSTBKPGW3MDMBEXCUHJAUKJ1E&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_192&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4uH0M7-8BzI3s7IWaCXZO7XbT_WLHOAplKHonO4cA284Q%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
zurbaa,,₹340,
ADIDAS,,₹929,
MODISH,"50 L Gym Duffel Bag - 50 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage - Maroon",₹265,https://www.flipkart.com/modish-expandable-50-liter-expandable-travel-bags-women-duffle-women-luggage-gym-duffel-bag/p/itmc0f35de0e37e0?pid=DFBH8VUQTPHM7QHY&lid=LSTDFBH8VUQTPHM7QHYYVXKBW&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_195&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.DFBH8VUQTPHM7QHY.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
Daawat,Rozana Gold Basmati Rice (Medium Grain),₹600,https://www.flipkart.com/daawat-rozana-gold-basmati-rice-medium-grain/p/itm0c76b17cd186b?pid=RICEUC2YFTZGQPSQ&lid=LSTRICEUC2YFTZGQPSQQV1IKW&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_196&otracker=search&otracker1=search&iid=f5ff6852-c80c-4e04-a68f-b5a7c5058158.RICEUC2YFTZGQPSQ.SEARCH&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
markway,Large 35 L Backpack School /College Office Casual Waterproof,₹279,https://www.flipkart.com/markway-school-college-office-casual-waterproof-35-l-backpack/p/itm22fba92920e5e?pid=BKPGSFTZEYNUWQTH&lid=LSTBKPGSFTZEYNUWQTHFQ3MRG&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_197&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4smaU8i-dqcoXIsJgGAjnhtEHcCTrnB5mx0oQZ49t4UHA%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
markway,Large 35 L Backpack School/College Office Casual Waterproof bag,₹298,https://www.flipkart.com/markway-school-college-office-casual-waterproof-bag-35-l-backpack/p/itm5d272221888ec?pid=BKPGSFTZG6YVZB6F&lid=LSTBKPGSFTZG6YVZB6F0V1GDU&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_5_198&otracker=search&otracker1=search&iid=en_5KHKgYr92lQKQ82ahV2SvzRoDN03zmCokI20wu85_4v1_3mVHUuRs9u8emRiShxUrxb_L49TPLi-_FH1BB_fSw%3D%3D&ssid=i6pxk4rzao0000001758308778212&qH=4a82715423d654d6
WEIRVI,,₹372,
fellow,,₹393,
NASHER MILES,,₹919,
SBCOLLECTION,Large 35 L Backpack Backpack/School Bag/College Bag Office Casual Bag Waterproof School Bag,₹292,https://www.flipkart.com/sbcollection-backpack-school-bag-college-bag-office-casual-waterproof-school-35-l-backpack/p/itm33767d48bfdcb?pid=BKPH5VWJQZYQJVGE&lid=LSTBKPH5VWJQZYQJVGE9JRY7K&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_6_202&otracker=search&otracker1=search&iid=en_4mJmP3VcsaT839jiT63qCgk3V1AiCGlrF9NOjV0ELjXSueIz0ryJuNGVObYmwBxKrNGfPbLrVY7BbONnzscNFg%3D%3D&ssid=c85aayqz4g0000001758308789153&qH=4a82715423d654d6
Flamebird,Medium 24 L Laptop Backpack Apex,₹484,https://www.flipkart.com/flamebird-apex-24-l-backpack/p/itm16e2dc12beb0c?pid=BKPH7ZE6ZMNKWQGE&lid=LSTBKPH7ZE6ZMNKWQGEFFQ0ZA&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_6_203&otracker=search&otracker1=search&iid=fd49e61f-9c01-44b8-bc41-8bc5bc0776ed.BKPH7ZE6ZMNKWQGE.SEARCH&ssid=c85aayqz4g0000001758308789153&qH=4a82715423d654d6
Fast Fashion,,₹203,
25DEGREE N,,₹259,
crafty craft,"Green Men Sling Bag Stylish Cross Body Sling bag for Office, Cash, Business Collection, Travelling",₹176,https://www.flipkart.com/crafty-craft-green-sling-bag-stylish-cross-body-office-cash-business-collection-travelling/p/itm499a77cac7681?pid=SLBGZ9FJ5JRNGRGP&lid=LSTSLBGZ9FJ5JRNGRGPWOHMHN&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_6_206&otracker=search&otracker1=search&iid=fd49e61f-9c01-44b8-bc41-8bc5bc0776ed.SLBGZ9FJ5JRNGRGP.SEARCH&ssid=c85aayqz4g0000001758308789153&qH=4a82715423d654d6
